ID,Capacity reduction (w/ TWA),Responding IMTs,MATSim Link,Start Time (sec),End Time (sec)
6,0.25,1,24897,52323,55485
118,0.2,2,30859,28164,30846
174,0.21,2,24522,55414,61024
77,0.17,2,31665,49878,53106
187,0.27,1,30667,24165,27483
151,0.2,1,33550,53773,57151
178,0.53,2,37500,55545,63015
181,0.57,1,24514,56513,60785
149,0.49,1,46144,57963,61689
156,0.17,1,30648,28244,33662
160,0.32,2,42111,60279,64395
125,0.17,1,4554,58444,61072
10,0.17,2,2841,34021,41047
154,0.17,2,30673,46852,51772
146,0.4,1,30708,45572,47672
