x,y,class,scenario,,,,,,,
-111.70985,40.74914,1,1,,,,,,,
-111.72573,40.30448,1,1,,,,,,,
-111.87972,40.42145,1,1,,,,,,,
-111.85485,40.71956,1,1,,,,,,,
-111.90433,40.71850,1,1,,,,,,,
-111.90435,40.63730,2,1,,,,,,,
-111.72565,40.30054,2,1,,,,,,,
-111.79793,40.68186,3,1,,,,,,,
-111.69836,40.25448,3,1,,,,,,,
-111.88370,40.63128,3,1,,,,,,,
-111.81864,40.37686,4,1,,,,,,,
-111.79517,40.36692,4,1,,,,,,,
-111.90093,40.59016,5,1,,,,,,,
-111.90190,40.69989,1,2,,,,,,,
-111.90230,40.64801,1,2,,,,,,,
-111.89097,40.50443,1,2,,,,,,,
-111.91996,40.80050,1,2,,,,,,,
-111.90357,40.70797,2,2,,,,,,,
-111.89436,40.43517,2,2,,,,,,,
-111.91091,40.75357,3,2,,,,,,,
-111.75586,40.34171,3,2,,,,,,,
-111.91016,40.77403,3,2,,,,,,,
-111.90434,40.73787,4,2,,,,,,,
-111.90296,40.68953,4,2,,,,,,,
-111.72703,40.32209,5,2,,,,,,,
-111.89995,40.58534,5,2,,,,,,,
-111.91111,40.75427,1,3,,,,,,,
-111.90434,40.73787,1,3,,,,,,,
-111.88117,40.63101,1,3,,,,,,,
-111.64658,40.16132,1,3,,,,,,,
-111.83057,40.38409,1,3,,,,,,,
-111.89284,40.49025,2,3,,,,,,,
-111.79517,40.36692,2,3,,,,,,,
-111.90230,40.64801,3,3,,,,,,,
-111.90454,40.63681,3,3,,,,,,,
-111.75586,40.34171,3,3,,,,,,,
-111.91562,40.79084,4,3,,,,,,,
-111.90003,40.57400,4,3,,,,,,,
-111.90106,40.59058,5,3,,,,,,,
