Scenario,ID,County,Type,Shift,x,y,Link Id
Current,505,SLC,Existing,Day,-111.842146,40.7188772,13565
Improved,505,SLC,Existing,Day,-111.842146,40.7188772,13565
Current,510,SLC,Existing,Day,-111.95243,40.654585,13492
Improved,510,SLC,Existing,Day,-111.95243,40.654585,13492
Current,514,SLC,Existing,Day,-111.950579,40.765481,13038
Improved,514,SLC,Existing,Day,-111.950579,40.765481,13038
Current,517,SLC,Existing,Swing,-111.904355,40.717948,16740
Improved,517,SLC,Existing,Swing,-111.904355,40.717948,16740
Current,519,SLC,Existing,Swing,-111.842146,40.7188772,13565
Improved,519,SLC,Existing,Swing,-111.842146,40.7188772,13565
Current,520,SLC,Existing,Swing,-111.95243,40.654585,13492
Improved,520,SLC,Existing,Swing,-111.95243,40.654585,13492
Current,523,SLC,Existing,Swing,-111.950579,40.765481,13038
Improved,523,SLC,Existing,Swing,-111.950579,40.765481,13038
Current,525,SLC,Existing,Day,-111.904355,40.717948,16740
Improved,525,SLC,Existing,Day,-111.904355,40.717948,16740
Current,527,SLC,Existing,Swing,-111.904534,40.632054,16809
Improved,527,SLC,Existing,Swing,-111.904534,40.632054,16809
Current,528,SLC,Existing,Swing,-111.8910098,40.5043553,16524
Improved,528,SLC,Existing,Swing,-111.8910098,40.5043553,16524
Improved,503,SLC,New,Day,-111.904534,40.632054,16809
Improved,504,SLC,New,Swing,-111.9142167,40.7639914,8654
Improved,507,SLC,New,Day,-111.8910098,40.5043553,16524
Improved,508,SLC,New,Swing,-111.950965,40.725395,13120
Improved,509,SLC,New,Day,-111.827701,40.634533,13514
Improved,511,SLC,New,Swing,-111.827701,40.634533,13514
Current,506,Davis,Existing,Day,-111.987231,41.08555,11373
Improved,506,Davis,Existing,Day,-111.987231,41.08555,11373
Current,512,Davis,Existing,Day,-111.891321,40.924957,12779
Improved,512,Davis,Existing,Day,-111.891321,40.924957,12779
Current,518,Davis,Existing,Day,-111.9096651,40.8530274,16691
Improved,518,Davis,Existing,Day,-111.9096651,40.8530274,16691
Current,526,Davis,Existing,Swing,-111.987231,41.08555,11373
Improved,526,Davis,Existing,Swing,-111.987231,41.08555,11373
Current,529,Davis,Existing,Swing,-111.891321,40.924957,12779
Improved,529,Davis,Existing,Swing,-111.891321,40.924957,12779
Improved,530,Davis,New,Swing,-111.9154388,40.835529,13383
Improved,531,Davis,New,Swing,-111.899534,40.9853997,16669
Current,502,Utah,Existing,Swing,-111.667658,40.115918,20151
Improved,502,Utah,Existing,Swing,-111.667658,40.115918,20151
Current,513,Utah,Existing,Swing,-111.8389451,40.3947625,24749
Improved,513,Utah,Existing,Swing,-111.8389451,40.3947625,24749
Current,516,Utah,Existing,Day,-111.725486,40.292891,18804
Improved,516,Utah,Existing,Day,-111.725486,40.292891,18804
Current,521,Utah,Existing,Day,-111.7430477,40.0454608,22733
Improved,521,Utah,Existing,Day,-111.7430477,40.0454608,22733
Current,524,Utah,Existing,Day,-111.6592848,40.2079691,19725
Improved,524,Utah,Existing,Day,-111.6592848,40.2079691,19725
Improved,532,Utah,New,Swing,-111.764158,40.347113,25238
Improved,533,Utah,New,Swing,-111.6959323,40.2522019,17130
